Id;;parent-class-id;grandparent-class-id;grand-grandparent-class-id;parent-class-id;grandparent-class-id;grand-grandparent-class-id
t39; format ;format / combination rules ; data model (format) ;model ;t275;t257;t250
t4; classification scheme ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t40; glossary ;glossary ;term list ;;t263;t252;
t41; information resource ;logical model ;model ;;t256;t250;
t42; metadata ;term list ;;;t252;;
t43; metadata registry ;registry ;;;t255;;
t44; property ;data model (format) ;model ;;t257;t250;
t45; record ;data model (format) ;model ;;t257;t250;
t46; registry ;registry ;;;t255;;
t47; relation ;data model (format) ;model ;;t257;t250;
t48; resource ;controlled resource ;;;t251;;
t49; resource description framework (rdf) ;logical model ;model ;;t256;t250;
t5; classification system ;alphanumeric classification ; classification (broad) ;classification ;t274;t261;t253
t50; scheme ;format / combination rules ; data model (format) ;model ;t275;t257;t250
t51; structured values ;internal structure ; data model (format) ;model ;t277;t257;t250
t52; structural metadata ;internal structure ; data model (format) ;model ;t277;t257;t250
t53; subject ;data model (format) ;model ;;t257;t250;
t54; subject headings ;subject list ;term list ;;t264;t252;
t55; syntax ;internal structure ; data model (format) ;model ;t277;t257;t250
t56; thesaurus ;thesauri ;classification ;;t265;t253;
t57; term list ;term list ;;;t252;;
t58; term list ;flat term list ;term list ;;t266;t252;
t59; dictionary ;dictionary ;term list ;;t262;t252;
t6; controlled vocabulary ;glossary ;term list ;;t263;t252;
t60; glosary ;glossary ;term list ;;t263;t252;
t61; synonym ring ;synonym ring ;term list ;;t267;t252;
t62; metadata-like models ;term list ;;;t252;;
t63; authority files ;NAL ;term list ;;t260;t252;
t64; directories ;NAL ;term list ;;t260;t252;
t65; gazetteers ;NAL ;term list ;;t260;t252;
t66; classification and categorization ;classification ;;;t253;;
t67; subject headings ;data model (format) ;model ;;t257;t250;
t68; categorization schemes ;categorisation ;classification ;;t268;t253;
t69; taxonomies ;classification (broad) ;classification ;;t261;t253;
t7; controlled vocabulary ;controlled resource ;;;t251;;
t70; classification schemes ;classification (broad) ;classification ;;t261;t253;
t71; relationship models ;conceptual model ;model ;;t258;t250;
t72; thesauri ;thesauri ;classification ;;t265;t253;
t73; semantic networks ;logical model ;model ;;t256;t250;
t74; ontologies ;logical model ;model ;;t256;t250;
t75; subject-based classification ;subject based classification ; classification (broad) ;classification ;t280;t261;t253
t76; controlled vocabularies ;term list ;;;t252;;
t77; taxonomy  ;taxonomy ; classification (broad) ;classification ;t271;t261;t253
t78; thesauri  ;thesauri ;classification ;;t265;t253;
t79; faceted classification ;faceted classification ; classification (broad) ;classification ;t279;t261;t253
t8; element set ;metadata model ; data model (format) ;model ;t273;t257;t250
t80; ontology ;logical model ;model ;;t256;t250;
t81; synonym ring ;synonym ring ;term list ;;t267;t252;
t82; authority file ;glossary ;term list ;;t263;t252;
t83; topic maps ;conceptual model ;model ;;t258;t250;
t84; element set  ;metadata model ; data model (format) ;model ;t273;t257;t250
t85; dataset ;data model (format) ;model ;;t257;t250;
t86; controlled vocabulary ;glossary ;term list ;;t263;t252;
t87; classification system ;classification ;;;t253;;
t88; classification scheme ;classification ;;;t253;;
t89; named authority list ;NAL ;term list ;;t260;t252;
t9; exchange format ;interface ; data model (format) ;model ;t278;t257;t250
t90; subject headings ;subject list ;term list ;;t264;t252;
t91; thesaurus ;thesauri ;classification ;;t265;t253;
t92; formal taxonomy  ;logical model ;model ;;t256;t250;
t93; semantic spectrum ;logical model ;model ;;t256;t250;
t94; glossary ;glossary ;term list ;;t263;t252;
t95; controlled vocabulary ;glossary ;term list ;;t263;t252;
t96; data dictionary ;glossary ;term list ;;t263;t252;
t97; data model ;internal structure ; data model (format) ;model ;t277;t257;t250
t98; taxonomy ;logical model ;model ;;t256;t250;
t99; ontology ;logical model ;model ;;t256;t250;
